code,tier,n,decided,wins,n_24mo,wins_24mo,bid_total,award_total,flow_yr,bid_24mo,award_24mo,gp_pct,avg_won,avg_lost,months_since_last_bid,flow_trend_12v12
GC-001,E,2,2,0,0,0,512000,0,0,0,0,30.1,0,256000,28.9,0.00
GC-002,F,12,12,2,0,0,753000,24700,0,0,0,28.1,12300,72800,31.7,0.00
GC-003,C,30,27,3,15,0,10100000,599000,2730000,5460000,0,38.6,200000,388000,0.5,0.17
GC-004,E,1,0,0,1,0,524000,0,262000,524000,0,22.5,0,0,0.4,
GC-005,E,2,0,0,2,0,1250000,0,625000,1250000,0,20.7,0,0,0.5,
GC-006,B,7,5,3,6,3,439000,179000,197000,394000,179000,28.7,59600,63200,2.7,0.51
GC-007,E,1,1,0,1,0,80500,0,40300,80500,0,27.4,0,80500,17.5,0.00
GC-008,E,2,2,0,2,0,1920000,0,962000,1920000,0,27.4,0,962000,9.4,172.53
GC-009,E,3,3,0,3,0,1070000,0,536000,1070000,0,25.5,0,358000,23.2,0.00
GC-010,E,2,2,0,0,0,15000,0,0,0,0,28.2,0,7480,26.4,0.00
GC-011,E,1,0,0,1,0,94500,0,47200,94500,0,25.0,0,0,1.4,
GC-012,C,12,12,0,7,0,2570000,0,1110000,2210000,0,24.3,0,214000,2.0,0.21
GC-013,A,11,11,2,2,1,4790000,1040000,515000,1030000,866000,21.3,518000,417000,23.7,0.00
GC-014,A,6,6,1,2,0,2220000,854000,402000,803000,0,41.6,854000,272000,16.8,0.00
GC-015,C,21,15,2,18,2,6990000,131000,2710000,5430000,131000,45.7,65500,359000,1.5,1.09
GC-016,E,4,4,1,1,1,92200,12200,22100,44200,12200,29.6,12200,26700,19.8,0.00
GC-017,E,2,2,0,1,0,28200,0,10700,21500,0,38.4,0,14100,17.4,0.00
GC-018,E,1,0,0,1,0,185000,0,92600,185000,0,25.0,0,0,1.8,
GC-019,E,2,2,0,2,0,139000,0,69600,139000,0,28.3,0,69600,20.2,0.00
GC-020,E,2,0,0,2,0,45000,0,22500,45000,0,26.0,0,0,0.0,
GC-021,B,6,6,2,3,2,688000,67700,150000,300000,67700,35.0,33900,155000,18.5,0.00
GC-022,E,2,2,0,2,0,312000,0,156000,312000,0,28.8,0,156000,10.7,13.50
GC-023,E,2,2,0,0,0,438000,0,0,0,0,28.0,0,219000,29.3,0.00
GC-024,E,2,2,1,0,0,17800,11200,0,0,0,53.1,11200,6580,36.8,0.00
GC-025,E,4,3,0,4,0,675000,0,338000,675000,0,27.5,0,161000,0.4,0.40
GC-026,D,7,7,0,6,0,373000,0,160000,320000,0,29.0,0,53300,12.2,0.00
GC-027,D,6,6,0,5,0,791000,0,282000,564000,0,29.3,0,132000,2.0,5.68
GC-028,E,2,0,0,2,0,28500,0,14200,28500,0,33.3,0,0,1.1,
GC-029,E,1,1,0,1,0,251000,0,126000,251000,0,25.0,0,251000,12.5,0.00
GC-030,C,19,16,0,17,0,1140000,0,565000,1130000,0,27.2,0,61500,0.4,1.55
GC-031,E,3,3,0,0,0,106000,0,0,0,0,30.2,0,35400,37.0,0.00
GC-032,E,3,3,0,0,0,152000,0,0,0,0,30.8,0,50500,29.2,0.00
GC-033,E,1,1,1,1,0,12300,12300,6160,12300,0,41.6,12300,0,11.7,
GC-034,E,2,2,0,2,0,21300,0,10600,21300,0,29.8,0,10600,3.8,
GC-035,E,1,1,0,1,0,350000,0,175000,350000,0,27.5,0,350000,5.2,
GC-036,E,1,1,0,1,0,55300,0,27600,55300,0,27.5,0,55300,5.1,
GC-037,E,1,1,0,1,0,1950,0,973,1950,0,57.5,0,1950,10.1,
GC-038,C,71,69,4,45,4,22799999.999999996,307000,6710000,13399999.999999998,307000,43.3,76800,345000,0.3,0.30
GC-039,E,3,3,0,3,0,192000,0,96000,192000,0,27.7,0,64000,4.2,2.58
GC-040,E,3,3,0,0,0,92100,0,0,0,0,30.5,0,30700,30.8,0.00
GC-041,E,2,2,2,2,2,28900,28900,14500,28900,28900,25.4,14500,0,16.1,0.00
GC-042,E,1,1,0,1,0,10900,0,5460,10900,0,32.4,0,10900,15.9,0.00
GC-043,C,8,5,0,8,0,2670000,0,1340000,2670000,0,24.3,0,411000,1.6,4.68
GC-044,E,2,0,0,2,0,153000,0,76300,153000,0,25.0,0,0,1.1,
GC-045,C,31,22,0,18,0,6150000,0,2100000,4200000,0,27.7,0,149000,1.8,2.69
GC-046,E,1,1,0,1,0,476000,0,238000,476000,0,27.5,0,476000,2.0,
GC-047,E,3,0,0,3,0,19900,0,9940,19900,0,31.8,0,0,0.0,
GC-048,C,17,15,0,13,0,2240000,0,779000,1560000,0,28.9,0,148000,1.6,0.64
GC-049,C,27,22,2,14,0,5600000,190000,1880000,3770000,0,31.1,95000,211000,0.2,1.94
GC-050,E,3,3,0,0,0,410000,0,0,0,0,29.6,0,137000,29.1,0.00
GC-051,E,1,1,0,1,0,17700,0,8870,17700,0,32.4,0,17700,7.9,
GC-052,B,13,12,3,8,3,1610000,165000,254000,509000,165000,28.8,55100,160000,0.8,0.80
GC-053,C,32,32,0,26,0,9300000,0,4200000,8410000,0,28.2,0,291000,4.7,2.21
GC-054,E,1,0,0,1,0,333000,0,166000,333000,0,25.0,0,0,1.9,
GC-055,B,5,5,3,5,3,376000,227000,188000,376000,227000,25.0,75600,74300,14.6,0.00
GC-056,D,8,8,0,6,0,699000,0,143000,285000,0,27.6,0,87400,8.7,12.03
GC-057,C,13,11,0,10,0,2030000,0,780000,1560000,0,24.3,0,117000,0.2,2.08
GC-058,E,2,2,0,0,0,35000,0,0,0,0,30.0,0,17500,37.0,0.00
GC-059,E,2,2,1,0,0,204000,23900,0,0,0,33.8,23900,180000,27.5,0.00
GC-060,E,3,0,0,3,0,796000,0,398000,796000,0,19.2,0,0,0.2,
GC-061,E,1,1,0,1,0,50300,0,25200,50300,0,28.9,0,50300,15.1,0.00
GC-062,B,16,12,3,13,2,869000,277000,329000,659000,178000,25.8,92300,40300,5.6,3.55
GC-063,E,3,3,1,3,1,71500,19200,35800,71500,19200,25.0,19200,26200,3.0,0.37
GC-064,C,43,41,3,24,1,6450000,103000,2150000,4310000,30300,35.5,34500,160000,1.1,0.23
GC-065,C,39,39,1,21,1,5780000,227000,1500000,3000000,227000,25.0,227000,146000,0.6,0.52
GC-066,D,13,13,0,13,0,623000,0,312000,623000,0,29.0,0,47900,13.7,0.00
